GeneName	C1_normalize_thefile1	T1_normalize_thefile1	T2_normalize_thefile2	T3_normalize_thefile3
ENSG00000023318_ERP44	94.81526507	108.906306	94.52490086	142.237449
ENSG00000023330_ALAS1	61.4862628	55.1552308	38.73788072	186.3719344
ENSG00000023445_BIRC3	71.0635623	259.1509521	82.50665503	69.78580379
ENSG00000023516_AKAP11	109.053517	89.41662672	104.5866881	73.16253623
ENSG00000023734_STRAP	263.056493	129.6878085	285.8665541	362.969117
ENSG00000023839_ABCC2	252.9684042	88.46180093	192.7391237	70.37821299
ENSG00000023909_GCLM	120.0993358	22.18565801	173.2304363	180.6255652
ENSG00000024422_EHD2	224.2365057	206.0177053	241.0916011	234.9494888
ENSG00000025772_TOMM34	122.5894336	127.6096582	124.4866672	129.3821693
ENSG00000025796_SEC63	253.4153448	140.3593908	168.5349356	180.2108787
ENSG00000025800_KPNA6	114.4806534	109.5241345	117.6670114	114.098012
ENSG00000026508_CD44	453.7724504	734.8788593	1040.500594	1031.976827
ENSG00000027697_IFNGR1	417.1233176	320.3721349	186.3107596	74.58431831
ENSG00000028203_VEZT	110.0750956	132.5522858	88.43192972	60.78118395
ENSG00000029363_BCLAF1	319.0517707	250.5013537	377.3729188	172.4503182
ENSG00000029364_SLC39A9	148.5758396	135.3044308	168.8703285	174.819955
ENSG00000029993_HMGB3	142.3825193	98.57172104	194.8073799	64.27639823
ENSG00000030066_NUP160	186.1827023	193.1556403	177.8700382	154.5003194
ENSG00000030582_GRN	221.6187105	302.1742787	300.9033361	381.2153204
ENSG00000031698_SARS	175.3922782	92.61810142	81.72407158	148.872432
ENSG00000033050_ABCF2	85.62105754	30.32976032	94.07771031	111.0174841
ENSG00000033178_UBA6	92.8359565	141.0333855	132.815591	95.73332676
ENSG00000033867_SLC4A7	106.9465111	82.33968264	106.7108431	75.59141395
ENSG00000034152_MAP2K3	31.15814771	89.07962938	73.8982371	207.6394247
ENSG00000034510_TMSB10	314.5185156	1020.427936	616.7875553	1186.951074
ENSG00000035403_VCL	270.9098786	948.5913371	463.7924911	292.590904
ENSG00000035687_ADSS	97.62460625	94.86475033	100.0588838	86.49174324
ENSG00000035862_TIMP2	11.74815406	35.04772304	33.59518948	113.1501572
ENSG00000035928_RFC1	167.0281033	219.8907623	146.2872061	118.4225991
ENSG00000036549_ZZZ3	108.9258197	97.56072903	87.25805454	77.54636431
ENSG00000037474_NSUN2	343.1865655	237.1337927	430.0855039	484.1760394
ENSG00000038274_MAT2B	140.530908	94.92091655	96.70495475	77.96105075
ENSG00000038382_TRIO	263.5034336	528.9173202	402.471488	330.9790202
ENSG00000039068_CDH1	402.821217	751.5040612	328.852745	375.7651557
ENSG00000039123_SKIV2L2	128.2719647	85.76582224	103.07742	54.26468274
ENSG00000039560_RAI14	116.8430539	217.6441134	204.0306849	131.4556015
ENSG00000040275_SPDL1	101.0724341	96.9990668	96.59315711	65.28349387
ENSG00000041357_PSMA4	190.7159574	114.691427	230.4149269	226.3003145
ENSG00000041802_LSG1	124.0579529	87.11381158	130.97093	165.8745761
ENSG00000042753_AP2S1	83.83329497	95.033249	103.4687117	122.6287045
